k_time,flow_id,source_sensor,path_to_car,rate_mbps
1,33,"(1, 12)","[(1, 12), (2, 12), (2, 13), (2, 14), (2, 15)] -> Car-1",5
1,36,"(1, 13)","[(1, 13), (2, 13), (2, 14), (2, 15)] -> Car-1",5
1,39,"(1, 14)","[(1, 14), (2, 14), (3, 14), (3, 15)] -> Car-1",5
1,42,"(1, 15)","[(1, 15)] -> Car-1",5
1,45,"(1, 16)","[(1, 16)] -> Car-1",5
1,48,"(1, 17)","[(1, 17), (1, 16)] -> Car-1",5
1,51,"(1, 18)","[(1, 18), (1, 17), (1, 16)] -> Car-1",5
1,54,"(1, 19)","[(1, 19), (2, 19), (2, 18), (2, 17), (2, 16), (2, 15)] -> Car-1",5
1,57,"(1, 20)","[(1, 20), (1, 21), (1, 22), (1, 23), (1, 24), (1, 25)] -> Car-2",5
1,60,"(1, 21)","[(1, 21), (1, 22), (1, 23), (1, 24), (1, 25)] -> Car-2",5
1,63,"(1, 22)","[(1, 22), (2, 22), (3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",5
1,66,"(1, 23)","[(1, 23), (2, 23), (3, 23), (3, 24), (3, 25)] -> Car-2",5
1,69,"(1, 24)","[(1, 24), (2, 24), (2, 25), (2, 26)] -> Car-2",5
1,72,"(1, 25)","[(1, 25)] -> Car-2",5
1,75,"(1, 26)","[(1, 26)] -> Car-2",5
1,78,"(1, 27)","[(1, 27), (1, 26)] -> Car-2",5
1,81,"(1, 28)","[(1, 28), (1, 27), (1, 26)] -> Car-2",5
1,84,"(1, 29)","[(1, 29), (2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",5
1,87,"(1, 30)","[(1, 30), (2, 30), (2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",5
1,90,"(2, 1)","[(2, 1), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
1,93,"(2, 2)","[(2, 2), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
1,102,"(2, 5)","[(2, 5)] -> Car-0",5
1,105,"(2, 6)","[(2, 6)] -> Car-0",5
1,108,"(2, 7)","[(2, 7), (3, 7), (3, 6)] -> Car-0",5
1,111,"(2, 8)","[(2, 8), (3, 8), (3, 7), (3, 6)] -> Car-0",5
1,114,"(2, 9)","[(2, 9), (1, 9), (1, 8), (1, 7), (1, 6)] -> Car-0",1.2641115479891252
1,117,"(2, 10)","[(2, 10), (1, 10), (1, 9), (1, 8), (1, 7), (1, 6)] -> Car-0",1.2641115479891252
1,120,"(2, 11)","[(2, 11), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
1,132,"(2, 15)","[(2, 15)] -> Car-1",5
1,135,"(2, 16)","[(2, 16), (2, 15)] -> Car-1",5
1,138,"(2, 17)","[(2, 17), (3, 17), (3, 16)] -> Car-1",5
1,141,"(2, 18)","[(2, 18), (3, 18), (3, 17), (3, 16)] -> Car-1",5
1,144,"(2, 19)","[(2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",1.7164483578356848
1,147,"(2, 20)","[(2, 20), (2, 21), (2, 22), (2, 23), (2, 24), (2, 25)] -> Car-2",3.032282872789118
1,150,"(2, 21)","[(2, 21), (2, 22), (2, 23), (2, 24), (2, 25)] -> Car-2",1.9677171272108822
1,162,"(2, 25)","[(2, 25), (1, 25)] -> Car-2",5
1,165,"(2, 26)","[(2, 26)] -> Car-2",5
1,168,"(2, 27)","[(2, 27), (3, 27), (3, 26)] -> Car-2",5
1,171,"(2, 28)","[(2, 28), (3, 28), (3, 27), (3, 26)] -> Car-2",5
1,192,"(3, 5)","[(3, 5)] -> Car-0",5
1,195,"(3, 6)","[(3, 6)] -> Car-0",5
1,198,"(3, 7)","[(3, 7), (2, 7), (1, 7), (1, 6)] -> Car-0",1.2641115479891252
1,201,"(3, 8)","[(3, 8), (2, 8), (1, 8), (1, 7), (1, 6)] -> Car-0",1.207665356032625
1,222,"(3, 15)","[(3, 15)] -> Car-1",5
1,225,"(3, 16)","[(3, 16)] -> Car-1",5
1,228,"(3, 17)","[(3, 17), (2, 17), (2, 16)] -> Car-1",1.7164483578356848
1,231,"(3, 18)","[(3, 18), (2, 18), (2, 17), (2, 16)] -> Car-1",1.5671032843286303
1,252,"(3, 25)","[(3, 25)] -> Car-2",5
1,255,"(3, 26)","[(3, 26)] -> Car-2",5
1,282,"(4, 5)","[(4, 5), (3, 5)] -> Car-0",5
1,285,"(4, 6)","[(4, 6), (3, 6)] -> Car-0",5
1,312,"(4, 15)","[(4, 15), (3, 15)] -> Car-1",5
1,315,"(4, 16)","[(4, 16), (3, 16)] -> Car-1",5
1,342,"(4, 25)","[(4, 25), (3, 25)] -> Car-2",5
1,345,"(4, 26)","[(4, 26), (3, 26)] -> Car-2",5
2,96,"(2, 3)","[(2, 3), (2, 4), (2, 5)] -> Car-0",5
2,99,"(2, 4)","[(2, 4), (2, 5)] -> Car-0",5
2,114,"(2, 9)","[(2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",5
2,117,"(2, 10)","[(2, 10), (2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",5
2,123,"(2, 12)","[(2, 12), (2, 13), (2, 14), (2, 15)] -> Car-1",5
2,126,"(2, 13)","[(2, 13), (2, 14), (2, 15)] -> Car-1",5
2,129,"(2, 14)","[(2, 14), (1, 14), (1, 15)] -> Car-1",5
2,144,"(2, 19)","[(2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",5
2,147,"(2, 20)","[(2, 20), (2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",5
2,150,"(2, 21)","[(2, 21), (2, 22), (2, 23), (2, 24), (2, 25)] -> Car-2",4.639440217143578
2,153,"(2, 22)","[(2, 22), (2, 23), (2, 24), (2, 25)] -> Car-2",5
2,156,"(2, 23)","[(2, 23), (1, 23), (1, 24), (1, 25)] -> Car-2",5
2,159,"(2, 24)","[(2, 24), (1, 24), (1, 25)] -> Car-2",5
2,171,"(2, 28)","[(2, 28), (2, 27), (2, 26)] -> Car-2",1.5730222012949397
2,174,"(2, 29)","[(2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",5
2,177,"(2, 30)","[(2, 30), (1, 30), (1, 29), (1, 28), (1, 27), (1, 26)] -> Car-2",5
2,180,"(3, 1)","[(3, 1), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
2,183,"(3, 2)","[(3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
2,186,"(3, 3)","[(3, 3), (2, 3), (1, 3), (1, 4), (1, 5)] -> Car-0",5
2,189,"(3, 4)","[(3, 4), (2, 4), (1, 4), (1, 5)] -> Car-0",5
2,198,"(3, 7)","[(3, 7), (3, 6)] -> Car-0",5
2,201,"(3, 8)","[(3, 8), (3, 7), (3, 6)] -> Car-0",5
2,204,"(3, 9)","[(3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6)] -> Car-0",5
2,207,"(3, 10)","[(3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
2,210,"(3, 11)","[(3, 11), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
2,213,"(3, 12)","[(3, 12), (2, 12), (1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",5
2,228,"(3, 17)","[(3, 17), (3, 16)] -> Car-1",5
2,231,"(3, 18)","[(3, 18), (3, 17), (3, 16)] -> Car-1",5
2,234,"(3, 19)","[(3, 19), (2, 19), (1, 19), (1, 18), (1, 17), (1, 16)] -> Car-1",5
2,237,"(3, 20)","[(3, 20), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",5
2,240,"(3, 21)","[(3, 21), (3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",5
2,243,"(3, 22)","[(3, 22), (2, 22), (2, 23), (2, 24), (2, 25)] -> Car-2",0.36055978285642176
2,258,"(3, 27)","[(3, 27), (3, 26)] -> Car-2",5
2,261,"(3, 28)","[(3, 28), (3, 27), (3, 26)] -> Car-2",5
2,264,"(3, 29)","[(3, 29), (2, 29), (1, 29), (1, 28), (1, 27), (1, 26)] -> Car-2",5
2,267,"(3, 30)","[(3, 30), (2, 30), (2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",3.4269777987050603
2,288,"(4, 7)","[(4, 7), (3, 7), (2, 7), (1, 7), (1, 6)] -> Car-0",5
2,318,"(4, 17)","[(4, 17), (3, 17), (2, 17), (1, 17), (1, 16)] -> Car-1",5
2,372,"(5, 5)","[(5, 5), (4, 5), (3, 5)] -> Car-0",5
2,375,"(5, 6)","[(5, 6), (4, 6), (3, 6)] -> Car-0",5
2,402,"(5, 15)","[(5, 15), (4, 15), (3, 15)] -> Car-1",5
2,405,"(5, 16)","[(5, 16), (4, 16), (3, 16)] -> Car-1",5
2,432,"(5, 25)","[(5, 25), (4, 25), (3, 25)] -> Car-2",5
2,435,"(5, 26)","[(5, 26), (4, 26), (3, 26)] -> Car-2",5
2,462,"(6, 5)","[(6, 5), (5, 5), (4, 5), (3, 5)] -> Car-0",5
2,465,"(6, 6)","[(6, 6), (5, 6), (4, 6), (3, 6)] -> Car-0",5
2,492,"(6, 15)","[(6, 15), (5, 15), (4, 15), (3, 15)] -> Car-1",5
2,495,"(6, 16)","[(6, 16), (5, 16), (4, 16), (3, 16)] -> Car-1",5
2,522,"(6, 25)","[(6, 25), (5, 25), (4, 25), (3, 25)] -> Car-2",5
2,525,"(6, 26)","[(6, 26), (5, 26), (4, 26), (3, 26)] -> Car-2",5
3,96,"(2, 3)","[(2, 3), (1, 3), (1, 4), (1, 5)] -> Car-0",5
3,99,"(2, 4)","[(2, 4), (1, 4), (1, 5)] -> Car-0",5
3,114,"(2, 9)","[(2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",3.735888452010874
3,117,"(2, 10)","[(2, 10), (2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",3.735888452010874
3,126,"(2, 13)","[(2, 13), (2, 14), (2, 15)] -> Car-1",5
3,129,"(2, 14)","[(2, 14), (2, 15)] -> Car-1",5
3,144,"(2, 19)","[(2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",3.2835516421643156
3,147,"(2, 20)","[(2, 20), (2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",1.9677171272108822
3,156,"(2, 23)","[(2, 23), (2, 24), (2, 25)] -> Car-2",3.3928426556455396
3,159,"(2, 24)","[(2, 24), (2, 25)] -> Car-2",5
3,174,"(2, 29)","[(2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",3.4269777987050603
3,177,"(2, 30)","[(2, 30), (2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",5
3,180,"(3, 1)","[(3, 1), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
3,183,"(3, 2)","[(3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
3,186,"(3, 3)","[(3, 3), (2, 3), (2, 4), (2, 5), (2, 6)] -> Car-0",5
3,189,"(3, 4)","[(3, 4), (2, 4), (2, 5), (2, 6)] -> Car-0",5
3,198,"(3, 7)","[(3, 7), (3, 6)] -> Car-0",3.735888452010874
3,201,"(3, 8)","[(3, 8), (3, 7), (3, 6)] -> Car-0",3.7923346439673757
3,204,"(3, 9)","[(3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6)] -> Car-0",5
3,207,"(3, 10)","[(3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
