factor,delta,base_value,pert_value,PLR,avg_delay,PLR_rel_change,Delay_rel_change,delta_rel
B_sensor,-0.2,10.0,8.0,0.08043854705914055,17.91508982035928,50.04715921083905,0.3297277705263554,-0.2
B_sensor,-0.1,10.0,9.0,0.0024410426285651488,15.190138888888887,0.5491116673041461,0.12747129493895173,-0.1
B_sensor,0.1,10.0,11.0,0.0016335370378486314,12.77397222222222,0.03666001371908606,-0.051866009372824866,0.1
B_sensor,0.2,10.0,12.0,0.002891774607856834,12.144444444444442,0.835150984885513,-0.09859201392109683,0.2
B_receive,-0.2,100.0,80.0,0.005383858630410687,14.186916666666665,2.4166540641365875,0.05300823266716998,-0.2
B_receive,-0.1,100.0,90.0,0.0016919466704926611,13.74886111111111,0.07372738907579354,0.0204940425014263,-0.1
B_receive,0.1,100.0,110.00000000000001,0.0007118890641614195,13.339277777777776,-0.5482276125328257,-0.009906828392289051,0.1
B_receive,0.2,100.0,120.0,0.00048548759255007123,13.273694444444441,-0.6919043992141161,-0.014774678930102756,0.2
Bpeak_rng,-0.2,"(30.0, 60.0)","(33.0, 57.0)",0.0015765451259162067,13.469861111111111,0.0004923390348397433,-0.00021442458955196856,-0.2
Bpeak_rng,-0.1,"(30.0, 60.0)","(31.5, 58.5)",0.0015761673929037823,13.472694444444443,0.0002526256395940413,-4.1235497990408205e-06,-0.1
Bpeak_rng,0.1,"(30.0, 60.0)","(28.5, 61.5)",0.0015753508867221155,13.472583333333333,-0.00026553788492876356,-1.2370649397122462e-05,0.1
Bpeak_rng,0.2,"(30.0, 60.0)","(27.0, 63.0)",0.001574912113551652,13.471944444444443,-0.0005439880149808817,-5.979147208661929e-05,0.2
cong_th,-0.2,0.9,0.7200000000000001,0.004322514269110123,13.472749999999998,1.7431136215384746,0.0,-0.2
cong_th,-0.1,0.9,0.81,0.0026327576044075096,13.472749999999998,0.6707760341108985,0.0,-0.1
cong_th,0.1,0.9,0.9900000000000001,0.0009239091503465691,13.472749999999998,-0.41367740630772787,0.0,0.1
cong_th,0.2,0.9,1.08,0.0,13.472749999999998,-0.9999999993653893,0.0,0.2
cong_loss_max,-0.2,0.08,0.064,0.0012606154505380163,13.472749999999998,-0.19999999987328923,0.0,-0.2
cong_loss_max,-0.1,0.08,0.07200000000000001,0.0014181923818560316,13.472749999999998,-0.09999999993629234,0.0,-0.1
cong_loss_max,0.1,0.08,0.08800000000000001,0.0017333462444903969,13.472749999999998,0.09999999993664462,0.0,0.1
cong_loss_max,0.2,0.08,0.096,0.001890923175807413,13.472749999999998,0.1999999998730074,0.0,0.2
